slug,old_url,new_slug,new_url,category,hub,file_path,content_length
"0-33-cup-shredded-carrot-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-shredded-carrot-to-ounces","conversions/cups-to-ounces/0-33-cup-shredded-carrot-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-shredded-carrot-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-shredded-carrot-to-ounces.md",10216
"0-33-cup-soft-cheese-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-soft-cheese-to-ounces","conversions/cups-to-ounces/0-33-cup-soft-cheese-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-soft-cheese-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-soft-cheese-to-ounces.md",14277
"0-33-cup-soy-cream-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-soy-cream-to-ounces","conversions/cups-to-ounces/0-33-cup-soy-cream-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-soy-cream-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-soy-cream-to-ounces.md",10242
"0-33-cup-soy-sauce-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-soy-sauce-to-ounces","conversions/cups-to-ounces/0-33-cup-soy-sauce-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-soy-sauce-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-soy-sauce-to-ounces.md",10428
"0-33-cup-sweet-chilli-sauce-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-sweet-chilli-sauce-to-ounces","conversions/cups-to-ounces/0-33-cup-sweet-chilli-sauce-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-sweet-chilli-sauce-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-sweet-chilli-sauce-to-ounces.md",11299
"0-33-cup-tartar-sauce-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-tartar-sauce-to-ounces","conversions/cups-to-ounces/0-33-cup-tartar-sauce-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-tartar-sauce-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-tartar-sauce-to-ounces.md",9815
"0-33-cup-whipping-cream-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-whipping-cream-to-ounces","conversions/cups-to-ounces/0-33-cup-whipping-cream-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-whipping-cream-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-whipping-cream-to-ounces.md",10266
"0-33-cup-wholemeal-flour-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-wholemeal-flour-to-ounces","conversions/cups-to-ounces/0-33-cup-wholemeal-flour-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-wholemeal-flour-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-wholemeal-flour-to-ounces.md",11255
"0-375-cup-agave-syrup-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-375-cup-agave-syrup-to-ounces","conversions/cups-to-ounces/0-375-cup-agave-syrup-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-375-cup-agave-syrup-to-ounces","conversions","cups-to-ounces","src\content\blog\0-375-cup-agave-syrup-to-ounces.md",10414
"0-375-cup-evaporated-milk-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-375-cup-evaporated-milk-to-ounces","conversions/cups-to-ounces/0-375-cup-evaporated-milk-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-375-cup-evaporated-milk-to-ounces","conversions","cups-to-ounces","src\content\blog\0-375-cup-evaporated-milk-to-ounces.md",11886
"0-375-cup-granulated-sugar-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-375-cup-granulated-sugar-to-ounces","conversions/cups-to-ounces/0-375-cup-granulated-sugar-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-375-cup-granulated-sugar-to-ounces","conversions","cups-to-ounces","src\content\blog\0-375-cup-granulated-sugar-to-ounces.md",11103
"0-375-cup-soy-sauce-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-375-cup-soy-sauce-to-ounces","conversions/cups-to-ounces/0-375-cup-soy-sauce-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-375-cup-soy-sauce-to-ounces","conversions","cups-to-ounces","src\content\blog\0-375-cup-soy-sauce-to-ounces.md",10044
