slug,old_url,file_path,content_length
"0-66-cup-wheatgerm-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-66-cup-wheatgerm-to-ounces","src\content\blog\0-66-cup-wheatgerm-to-ounces.md",9262
"0-66-cup-whipping-cream-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-66-cup-whipping-cream-to-ounces","src\content\blog\0-66-cup-whipping-cream-to-ounces.md",11258
"0-66-cup-wholemeal-flour-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-66-cup-wholemeal-flour-to-ounces","src\content\blog\0-66-cup-wholemeal-flour-to-ounces.md",10477
"0-7-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-7-kg-to-pounds","src\content\blog\0-7-kg-to-pounds.md",13666
"0-75-cup-worcestershire-sauce-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-75-cup-worcestershire-sauce-to-ounces","src\content\blog\0-75-cup-worcestershire-sauce-to-ounces.md",10593
"0-75-kg-beef-joint-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-75-kg-beef-joint-to-pounds","src\content\blog\0-75-kg-beef-joint-to-pounds.md",14481
"0-75-kg-beef-mince-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-75-kg-beef-mince-to-pounds","src\content\blog\0-75-kg-beef-mince-to-pounds.md",14283
"0-75-kg-chicken-breast-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-75-kg-chicken-breast-to-pounds","src\content\blog\0-75-kg-chicken-breast-to-pounds.md",15297
"0-75-kg-chicken-thighs-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-75-kg-chicken-thighs-to-pounds","src\content\blog\0-75-kg-chicken-thighs-to-pounds.md",14186
"0-75-kg-chicken-wings-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-75-kg-chicken-wings-to-pounds","src\content\blog\0-75-kg-chicken-wings-to-pounds.md",13881
"0-75-kg-cod-fillet-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-75-kg-cod-fillet-to-pounds","src\content\blog\0-75-kg-cod-fillet-to-pounds.md",15668
"0-75-kg-lamb-leg-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-75-kg-lamb-leg-to-pounds","src\content\blog\0-75-kg-lamb-leg-to-pounds.md",14282
"0-75-kg-prawns-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-75-kg-prawns-to-pounds","src\content\blog\0-75-kg-prawns-to-pounds.md",15036
"0-75-kg-salmon-fillet-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-75-kg-salmon-fillet-to-pounds","src\content\blog\0-75-kg-salmon-fillet-to-pounds.md",15148
"0-75-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-75-kg-to-pounds","src\content\blog\0-75-kg-to-pounds.md",16323
"0-75-kg-turkey-crown-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-75-kg-turkey-crown-to-pounds","src\content\blog\0-75-kg-turkey-crown-to-pounds.md",13930
"0-75-kg-whole-chicken-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-75-kg-whole-chicken-to-pounds","src\content\blog\0-75-kg-whole-chicken-to-pounds.md",15296
"0-8-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-8-kg-to-pounds","src\content\blog\0-8-kg-to-pounds.md",17175
"0-9-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-9-kg-to-pounds","src\content\blog\0-9-kg-to-pounds.md",15459
"1-0-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-0-kg-to-pounds","src\content\blog\1-0-kg-to-pounds.md",13492
"1-1-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-1-kg-to-pounds","src\content\blog\1-1-kg-to-pounds.md",15867
"1-2-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-2-kg-to-pounds","src\content\blog\1-2-kg-to-pounds.md",15581
"1-25-kg-beef-joint-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-25-kg-beef-joint-to-pounds","src\content\blog\1-25-kg-beef-joint-to-pounds.md",13367
"1-25-kg-beef-mince-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-25-kg-beef-mince-to-pounds","src\content\blog\1-25-kg-beef-mince-to-pounds.md",14497
"1-25-kg-chicken-breast-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-25-kg-chicken-breast-to-pounds","src\content\blog\1-25-kg-chicken-breast-to-pounds.md",17795
"1-25-kg-chicken-thighs-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-25-kg-chicken-thighs-to-pounds","src\content\blog\1-25-kg-chicken-thighs-to-pounds.md",16196
"1-25-kg-chicken-wings-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-25-kg-chicken-wings-to-pounds","src\content\blog\1-25-kg-chicken-wings-to-pounds.md",16576
"1-25-kg-cod-fillet-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-25-kg-cod-fillet-to-pounds","src\content\blog\1-25-kg-cod-fillet-to-pounds.md",15988
"1-25-kg-lamb-leg-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-25-kg-lamb-leg-to-pounds","src\content\blog\1-25-kg-lamb-leg-to-pounds.md",14720
"1-25-kg-prawns-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-25-kg-prawns-to-pounds","src\content\blog\1-25-kg-prawns-to-pounds.md",13438
"1-25-kg-salmon-fillet-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-25-kg-salmon-fillet-to-pounds","src\content\blog\1-25-kg-salmon-fillet-to-pounds.md",16400
"1-25-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-25-kg-to-pounds","src\content\blog\1-25-kg-to-pounds.md",16320
"1-25-kg-turkey-crown-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-25-kg-turkey-crown-to-pounds","src\content\blog\1-25-kg-turkey-crown-to-pounds.md",15224
"1-25-kg-whole-chicken-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-25-kg-whole-chicken-to-pounds","src\content\blog\1-25-kg-whole-chicken-to-pounds.md",14174
"1-3-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-3-kg-to-pounds","src\content\blog\1-3-kg-to-pounds.md",17578
"1-4-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-4-kg-to-pounds","src\content\blog\1-4-kg-to-pounds.md",14369
